Business License Number,Business Name,DBA,Business Status,Business License Type,Business License Classification,Business License Status,Business License Year,Business License Issued Date,Business License Expiration Date
STR-025718-2025,22 SAPELO LLC,22 SAPELO RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-024970,3 PENROSE DR W,3 PENROSE DR W - MAIN HOUSE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-024969,3 PENROSE DR W,3 PENROSE DR W - COTTAGE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025958-2025,"302 QUARTERMAN DR, LLC.",302 QUARTERMAN DR.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
STR-026429-2026,302 SUGAR TREE COURT,302 SUGAR TREE COURT,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,5/29/2026,6/30/2027
STR-026132-2025,502 SANDTOWN RD LLC  (MATTHEW LEWIS HERRINGTON),502 SANDTOWN ROAD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-026497-2026,"6 MOONBILL, LLC.",6 MOONBILL LANE,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,6/24/2026,6/30/2027
STR-026468-2026,6th HEART LLC,7712 JOHNNY MERCER BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/20/2026,6/30/2027
STR-025625-2025,8847 FERGUSON AVE LLC,8847 FERGUSON AVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/23/2026,6/30/2027
STR-025880-2025,ABBIE BROWN,202 STONEBRIDGE LANE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-026531-2026,ACHC PROPERTIES LLC (TERRI CRAWFORD),8512 WHITEFIELD AVE,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,7/22/2026,6/30/2027
STR-026412-2026,ACHC PROPERTIES LLC (TERRI CRAWFORD),8512 1/2 WHITE FIELD AVE (COTTAGE IN BACK),Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,6/29/2026,6/30/2027
STR-025983-2025,ALFA PROPERTIES RENTALS LLC,122 WAX MYRTLE CT ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-026115-2025,ALICE WERNTZ,8 WYCKFIELD CT.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-026114-2025,ALICE WERNTZ,10 WYCKFIELD CT.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-025703-2025,ALISHA HARRINGTON,110 CHAPEL LAKE S,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-026161-2025,AMY & JEREMY WILLIAMS,130 SAN MARCO DR.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-026324-2026,ANDERSON RESENDE,635 SUNCREST BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,6/29/2026,6/30/2027
STR-025760-2025,ANDERSON RESENDE,4 BRYAN WOOD CIRCLE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
STR-025796-2025,ANDREW & ASTRID WING,178 CHERRY LAURAL LANE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-026523-2026,ANTHONY MICHAEL SCARPULLA,98 PICKET ROW,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,7/10/2026,6/30/2027
STR-026528-2026,ANTHONY VALDES,5 BLUE GILL LANE,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,7/21/2026,6/30/2027
STR-026219-2026,"APS COASTAL, LLC.",308 HOLLY HILL RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,8/5/2026,6/30/2027
STR-026053-2025,BENIL SHAH,8827 FERGUSON AVENUE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025681-2025,BENIL SHAH,4 Fallowfield Drive,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/3/2026,6/30/2027
STR-026377-2026,BGS PROPERTIES CA LLC  (EVAN WAGLEY),308 SANDY SPRINGS RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,8/5/2026,6/30/2027
STR-026469-2026,"BLOCKADE HOLDINGS, LLC.",106 S BLOCKADE CT.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/20/2026,6/30/2027
STR-025726-2025,BOATHOUSE  SAVANNAH,240 OATLAND ISLAND RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-025024,"BOSCH HOSPITALITY GROUP, LLC.",1009 BOB WHITE RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-026040-2025,BRADFORD-EUGENE LLC,16 MILLS RUN CT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/3/2026,6/30/2027
STR-025135,BRANDON LINKER,133 LAURELWOOD DR.,Applied,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-025699-2025,BREEZEWAY STUDIO MANOR,918 PENN WALLER RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-025689-2025,BREEZEWAY STUDIO MANOR II,916 PENN WALLER ROAD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-025815-2025,CAMP HAPPY JOY ,105 RED GATE FARMS TRAIL,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025473-2025,"CANON STAYS, LLC.",107 RUNNER RD.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,8/3/2026,6/30/2027
STR-025682-2025,CAREN BRAMHALL,231 BUCKHALTER RD ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/3/2026,6/30/2027
STR-025879-2025,CARLOS R. MONTENEGRO,6 BRANDY LANE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-026200-2026,"CBH, LLC.",106 PELICAN CT.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,6/23/2026,6/30/2027
STR-025861-2025,CHARITY DANIELS,108 N SHEFTALL CIRCLE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-025798-2025,CHARLES RUSS MATHIS,13 WALTHOUR COVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/24/2026,6/30/2027
STR-025825-2025,CHARMING STAYS LLC,119 W. TISBURY LN,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-025824-2025,CHARMING STAYS LLC,121 BLUELAKE BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-026573-2026,CHEN HAO JIN & LIYING WU,210 BATTERY WAY,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,8/4/2026,6/30/2027
STR-026099-2025,CHINWE & SUNNY WESEY,13 TARA MANOR DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/24/2026,6/30/2027
STR-024930,CHRIS BEASON,1507 KINGS WAY,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-026012-2025,CHRISTIAN CHAPMAN,220 SANDLEWOOD DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/23/2026,6/30/2027
STR-026552-2026,CHRISTIAN JOSEPH TEOLI,129 BLUE GILL LN,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,7/20/2026,6/30/2027
STR-025332-2025,"CLARE'S ISLAND GETAWAY, LLC.",7310 TROPICAL WAY,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,6/29/2026,6/30/2027
STR-025662-2025,CMD WHITEMARSH LLC,117 TURNBUCKLE CT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/23/2026,6/30/2027
STR-025624-2025,COASTAL PALM PROPERTIES LLC,816 OEMLER LOOP,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025649-2025,"COLMOR ENTERPRISES, INC",24 BRANNEN DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/3/2026,6/30/2027
STR-026318-2026,CORTNEY ELWOOD,145 ROPEMAKER LANE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/22/2026,6/30/2027
STR-026278-2026,CORY SCOVILLE,1518 C WALTHOUR RD. - GUEST HOUSE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/13/2026,6/30/2027
STR-026155-2025,COURTNEY RESIDENTIAL LLC,225 CANVASBACK DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-025811-2025,CROOKED OAK,9 CRAMER AVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-026009-2025,"CROSBY HOLDINGS, LLC",904 REITA STREET,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/3/2026,6/30/2027
STR-025835-2025,DAVID ALLEN BAESSLER,122 PELICAN DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-025847-2025,DCR & COMPANY LLC,117 STONEBRIDGE DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,,6/30/2027
STR-026117-2025,DEVAN WILSON,70 CHAPEL LAKE NORTH,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/6/2026,6/30/2027
STR-025677-2025,DEYAN KOTZEV,232 LARCHMONT DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-025858-2025,DINKNACK LLC,206 PENN WALLER RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/3/2026,6/30/2027
STR-025550-2025,DONNA MARIE BALL,10 BOSTWICK DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/18/2026,6/30/2027
STR-026499-2026,DOUGLAS BAKER,21 MAINSAIL CROSSING,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,6/24/2026,6/30/2027
STR-025691-2025,DUFOUR,29 MORNINGSIDE DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-026492-2026,"DUNE PROPERTY MANAGEMENT, LLC.",132 CATALINA,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
STR-025954-2025,DYLAN BRODY SNELL,7212 JOHNNY MERCER BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-026232-2026,"E. TOLBERT COUNSELING AND CONSULTING, LLC.",33 BRANDLE WAY,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/13/2026,6/30/2027
STR-026028-2025,"EAST POINT DRIVE, LLC.",217 E. POINT DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/20/2026,6/30/2027
STR-025309-2025,EBS SERVICES LLC,130 BLUELAKE BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,6/23/2026,6/30/2027
STR-026498-2026,EBS SERVICES LLC,133 BERWICK LAKES BLVD.,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,6/23/2026,6/30/2027
STR-025751-2025,"ELEVATED GETAWAYS, LLC",406 MAPMAKER LANE ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/13/2026,6/30/2027
STR-024903,ELIZABETH W ENSOR,4 SUNSET WAY,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/5/2026,6/30/2027
STR-026557-2026,ERCEL JOANNE GARCIA-MELENDEZ,4  ESTILL HAMMOCK RD,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,7/21/2026,6/30/2027
STR-024985,ERIC & DANIELLE HESS,1233 WILMINGTON ISLAND RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/17/2026,6/30/2027
STR-026559-2026,ERIC & DANIELLE HESS,1233 WILMINGTON ISLAND RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-025806-2025,ERICA DEEB & DANIEL CANNON,109 STONEBRIDGE DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025809-2025,ESTUARDO NATARENO,236 HOLIDAY DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-025702-2025,ETHOS AVE LLC,107 CHAPEL DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-025872-2025,EVGUENI BORISENKO,117 WILD HERON RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/20/2026,6/30/2027
STR-025610-2025,FAMILY BNB LLC,109 E POINT DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/20/2026,6/30/2027
STR-025608-2025,FAMILY BNB LLC,197 AQUINNAH DR,Applied,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/20/2026,6/30/2027
STR-024949,FLEETWOOD PROPERTIES 1 LLC,137 CROSSOVER LANE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-024943,FLEETWOOD PROPERTIES 1 LLC,122 ROPEMAKER LANE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025582-2025,FRANCISCO POURCELY,7612 JOHNNY MERCER BLVD UNIT A,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-026503-2026,FRED & ELLA YOUNGBLOOD,32 SOUTHERLAND RD.,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,6/24/2026,6/30/2027
STR-026445-2026,"GA STR, LLC.",302 BURLINGTON RD.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,8/3/2026,6/30/2027
STR-025873-2025,GEIR KILEN LLC,114 REDAN DR ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-025537-2025,GELIN GAO,533 QUARTERMAN DR.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/17/2026,6/30/2027
STR-025685-2025,GLEN ALAN AMENSON,12 OSSABAW ROAD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/22/2026,6/30/2027
STR-026285-2026,GRANT GA HOLDINGS LLC (ETHAN GRANT MARKERT),20 LANSING AVE # C,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/21/2026,6/30/2027
STR-025140,"GREENANT 4, LLC.",4 SHAD RIVER RD,Applied,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025960-2025,GREGORY D  & JODIE A VAUGHN,218 MAPMAKER LANE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/20/2026,6/30/2027
STR-025638-2025,"HAPPY DIG INVESTMENT GROUP, LLC",5 TARA MANOR DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-026030-2025,"HGH GROUP, LLC.",8623 E CREIGHTON PL,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/6/2026,6/30/2027
STR-024944,HH REAL ESTATE INVESTMENTS INC,140 SAN MARCO DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/5/2026,6/30/2027
STR-026170-2025,HRISTINA ARNAUDOVA,28 RIVER OAKS RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
STR-026323-2026,HUDSON VELLE,153 BERWICK LAKES BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,8/3/2026,6/30/2027
STR-026091-2025,HUGO ALFARO,106 HOLIDAY CIR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-025970-2025,ILONA DEMURA,7233 GRANT ST,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
STR-025748-2025,ISLAND BREEZE ,3 SAPELO RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/20/2026,6/30/2027
STR-025829-2025,ISLAND CREEK INN,120 OKATEE DRIVE #B,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
STR-025957-2025,ISLAND PARLOR INN ,120 OKATEE DR. (GARAGE APT),Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
STR-025565-2025,"ISLAND SHACK, LLC",7833 JOHNNY MERCER BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/22/2026,6/30/2027
STR-025632-2025,ISLANDS COZY COTTAGE 2,7024 #2 JOHNNY MERCER BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025630-2025,ISLANDS COZY COTTAGE I UNIT 2,"6714 JOHNNY MERCER BLVD, UNIT 2",Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025848-2025,IVAN SHALAVUTA,202 FONTENOT DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-025117,"J HINOJOSA INVESTMENTS, LLC.",129 AQUINNAH DR.,Applied,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/20/2026,6/30/2027
STR-025698-2025,JACK & BELINDA FLANIGAN REAL ESTATE LLC,33 ESTILL HAMMOCK RD ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/23/2026,6/30/2027
STR-025697-2025,JACK & BELINDA FLANIGAN REAL ESTATE LLC,114 ANDREA DRIVE UNIT 6,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/6/2026,6/30/2027
STR-026462-2026,JACOB LEAH,115 RUNAWAY POINT RD.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/17/2026,6/30/2027
STR-025785-2025,JADELARK LLC,129 JACQUELYN DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-025784-2025,JADELARK LLC,116 PELICAN COURT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-026506-2026,JAMES DANIEL BROGDON,8 CAITTAIL CT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/24/2026,6/30/2027
STR-025593-2025,"JAMES K., MARY FAITH & JILL K BECKWORTH",904 PENWALLER ROAD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-025626-2025,JAMES ROBERTSON,1002 PERRY COVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-026538-2026,JAMIE LEE BENAVIDES,8991 FERGUSON AVENUE,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,8/3/2026,6/30/2027
STR-025277-2025,JANET EDNA MILLER,4810 GARRARD AVE  (GARAGE APARTMENT),Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,6/18/2026,6/30/2027
STR-025962-2025,JASON ANDREW LACIENSKI,414 RIVERVIEW DR.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-025856-2025,JAY MAUPIN,2090 GROVE POINT ROAD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/20/2026,6/30/2027
STR-025672-2025,JCA MANAGEMENT LLC,1345 WILMINGTON ISLAND RD (GARAGE APARTMENT ONLY),Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/23/2026,6/30/2027
STR-025818-2025,JENNIFER  JO WATERS ,9943 WHITEFIELD AVE - GUEST SUITE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-025817-2025,JENNIFER  JO WATERS ,9943 WHITEFIELD AVE - GUEST SUITE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-025614-2025,JENNIFER BROWN,167 LAURELWOOD DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,8/4/2026,6/30/2027
STR-026500-2026,JERRY COLLIER,21 PEREGRINE CROSSING,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,6/24/2026,6/30/2027
STR-025633-2025,JJSDO RENTALS LLC DBA ISLANDS COZY COTTAGE I,6714 JOHNNY MERCER BLVD UNIT 1,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025765-2025,JOHN HOWKINS,1917 STONE STREET,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025692-2025,JOHN LINDSEY AND LENELL DUFOUR,27 MORNINGSIDE DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-026494-2026,JOHN REX BENTON,44 HENDERSON AVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/30/2026,6/30/2027
STR-025730-2025,JOHNSON & AFFILIATES LLC,11 LANWICK COURT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-025866-2025,JONATHAN MUNOZ,535 POINTE NORTH DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-025816-2025,JORDAN L. LAWRENCE,1 PENROSE DR. W. ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-025615-2025,JOSEPH A & VALERIA S HUSZTY,1802 WILMINGTON ISLAND ROAD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/13/2026,6/30/2027
STR-026086-2025,JOSHUA & MEGGON CAHALL,122 NASSAU DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/13/2026,6/30/2027
STR-026550-2026,JULIA M SPENCER,110 BINNACLE CT,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,7/21/2026,6/30/2027
STR-026551-2026,JULIA M SPENCER,110 BINNACLE CT,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,7/21/2026,6/30/2027
STR-025073,JULIA M SPENCER,411 MAPMAKER LANE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025599-2025,"JUNAHILEY, LLC",109 RIVERVIEW DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025877-2025,KAMANN & JAMES RAVAN ,350 PENROSE DRIVE W (GUEST COTTAGE),Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-025738-2025,KARL SPERL & LAURNA CANTY,111 MARIAN CIRCLE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/23/2026,6/30/2027
STR-026198-2026,KARLI DALTON,8426 CRESTHILL AVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,8/4/2026,6/30/2027
STR-025755-2025,KELLI KOSTICK,4 HIGHPOINT CT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/13/2026,6/30/2027
STR-025902-2025,KEVIN & JILL ROMINE,29 ANGEL OAKS DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/13/2026,6/30/2027
STR-025716-2025,KHAJA KAMAL MOHIUDDIN,133 S. SHEFTALL CIR.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/6/2026,6/30/2027
STR-025620-2025,LAC VAN NGUYEN,27 MAPMAKER LN,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/24/2026,6/30/2027
STR-025577-2025,LARRY OR  CHERYL MAYORGA,21 BARNACLE COURT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
STR-026512-2026,LEANDRO de OLIVEIRA ABIZ,520 POINTE NORTH DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-026369-2026,LEX K. BAZEMORE,140 PELICAN DR.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/17/2026,6/30/2027
STR-025198-2025,LINDSAY WALLER,500 SANDTOWN RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,8/3/2026,6/30/2027
STR-025955-2025,LINDSEY WOLLER,1116 COBB RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/24/2026,6/30/2027
STR-025757-2025,LISA DEMARIA,215 BATTERY CRESCENT ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,,6/30/2027
STR-025770-2025,"LIVEOAKIES, LLC.",127 FALLIGANT AVENUE (COTTAGE 1),Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025772-2025,"LIVEOAKIES, LLC.",127 FALLIGANT AVE (COTTAGE 2),Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025771-2025,"LIVEOAKIES, LLC.",127 FALLIGANT AVE (MAIN),Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025759-2025,LMB PROPERTIES ,1715 E MONTGOMERY CROSS ROAD ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/3/2026,6/30/2027
STR-025725-2025,LOGGERHEAD NEST L.L.C.,127 BACKSHELL RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
